landkreis;code;0-18;18-25;25-45;45-65;65-80;80 und älter;0-18_f;18-25_f;25-45_f;45-65_f;65-80_f;80 und älter_f
Kreisfreie Stadt Brandenburg an der Havel;12051;11,1;5;16,4;18,4;15,2;6,4;5,4;2,4;7,7;8,9;8,2;4
Kreisfreie Stadt Cottbus;12052;14,1;7,4;21;23,6;20,7;8,7;6,9;3,7;10,4;11,6;11,4;5,4
Kreisfreie Stadt Frankfurt (Oder);12053;8,2;4,4;12,1;13,8;12,5;4,9;4;2,2;5,5;6,7;6,6;3,1
Kreisfreie Stadt Potsdam;12054;34,1;16;54,7;50,8;30;12;16,5;8,2;27,8;26,4;16,4;7,4
Landkreis Barnim;12060;33,5;12,8;42,1;54,8;41,3;14,6;16,3;6,1;21,4;26,9;21,8;8,8
Landkreis Dahme-Spreewald;12061;32,2;11,8;42,5;52,1;37,6;13,3;15,8;5,5;20,6;25,4;19,5;8,1
Landkreis Elbe-Elster;12062;12,6;4,8;14,8;25,5;24,2;8,9;6;2,2;7,3;12,1;12,6;5,4
Landkreis Havelland;12063;28,3;10,6;33,5;48,3;35,7;12,2;13,8;5;16,9;24,3;18,5;7,4
Landkreis Märkisch-Oderland;12064;33,5;12,2;37,5;56,2;45,6;14,8;16,1;5,7;19,4;27,7;23,8;9
Landkreis Oberhavel;12065;35;13,8;43,3;62,5;46,6;16,2;17;6,5;21,6;31,4;24,2;9,8
Landkreis Oberspeewald-Lausitz;12066;13,8;5,6;17;27,1;24,9;9,5;6,7;2,6;8,1;12,8;13,2;5,9
Landkreis Oder-Spree;12067;28,4;10,5;33;48,8;42,6;15,3;13,7;5;16,9;23,8;22,6;9,3
Landkreis Ostprignitz-Ruppin;12068;13,7;5,4;16,2;25,2;24;8;6,5;2,5;8,1;12,4;12,5;4,8
Landkreis Potsdam-Mittelmark;12069;37,4;14,4;41,4;64,8;48,1;16;18,5;6,8;21,1;32,8;25;9,5
Landkreis Prignitz;12070;10;3,9;12,2;18,9;18,4;6,6;4,9;1,9;5,9;9;9,6;4
Landkreis Spree-Neiße;12071;15,1;5,3;15,5;28,3;28,1;9,5;7,4;2,5;8,1;13,8;14,6;5,7
Landkreis Teltow-Fläming;12072;31,2;11,4;39,8;50,8;35,9;12,6;15,1;5,3;19,3;24,7;18,7;7,6
Landkreis Uckermark;12073;16;6;17,8;29,2;29,1;10,6;7,7;2,7;8,9;14,1;15,2;6,4
