landkreis;code;0-18;18-25;25-45;45-65;65-80;80 und älter;0-18_f;18-25_f;25-45_f;45-65_f;65-80_f;80 und älter_f
Kreisfreie Stadt Brandenburg an der Havel;12051;11,4;5,2;17,2;18,7;15,3;6,4;5,6;2,5;8,1;9,1;8,2;4
Kreisfreie Stadt Cottbus;12052;15,1;7,9;24;24,3;20,9;8,8;7,4;4;11,7;11,9;11,5;5,5
Kreisfreie Stadt Frankfurt (Oder);12053;8,8;4,8;13,6;14,1;12,6;5;4,3;2,4;6,3;6,8;6,7;3,1
Kreisfreie Stadt Potsdam;12054;37,9;17,7;65,7;53,9;30,7;12,3;18,4;9,1;33,3;27,7;16,8;7,6
Landkreis Barnim;12060;34,1;13;43,4;55,4;41,5;14,6;16,6;6,2;21,9;27,2;21,9;8,8
Landkreis Dahme-Spreewald;12061;34,9;12,8;49,1;54,8;38,3;13,6;17;6;23,5;26,5;19,8;8,3
Landkreis Elbe-Elster;12062;12,7;4,8;14,9;25,6;24,2;8,9;6;2,3;7,4;12,1;12,6;5,4
Landkreis Havelland;12063;28,6;10,6;34,1;48,6;35,7;12,3;14;5;17,2;24,4;18,6;7,4
Landkreis Märkisch-Oderland;12064;34;12,3;38,4;56,7;45,7;14,9;16,3;5,8;19,8;27,9;23,8;9
Landkreis Oberhavel;12065;35,1;13,8;43,6;62,6;46,6;16,1;17,1;6,5;21,8;31,4;24,2;9,8
Landkreis Oberspeewald-Lausitz;12066;13,9;5,6;17,2;27,2;24,9;9,5;6,8;2,7;8,2;12,8;13,2;5,9
Landkreis Oder-Spree;12067;30;11;36,1;50,1;43;15,6;14,4;5,2;18,3;24,4;22,8;9,5
Landkreis Ostprignitz-Ruppin;12068;13,9;5,5;16,6;25,4;24;8;6,6;2,5;8,3;12,4;12,6;4,8
Landkreis Potsdam-Mittelmark;12069;37,7;14,4;41,7;65;48,2;15,9;18,6;6,8;21,3;32,9;25;9,5
Landkreis Prignitz;12070;10,2;3,9;12,6;19,1;18,5;6,6;5;1,9;6,1;9,1;9,6;4,1
Landkreis Spree-Neiße;12071;15,6;5,4;16,3;28,7;28,2;9,5;7,6;2,6;8,4;14;14,7;5,7
Landkreis Teltow-Fläming;12072;31,3;11,4;39,9;50,9;35,9;12,6;15,2;5,3;19,4;24,7;18,7;7,6
Landkreis Uckermark;12073;16,4;6,1;18,6;29,5;29,2;10,6;7,9;2,8;9,2;14,2;15,3;6,5
