landkreis;code;0-18;18-25;25-45;45-65;65-80;80 und älter;0-18_f;18-25_f;25-45_f;45-65_f;65-80_f;80 und älter_f
Kreisfreie Stadt Brandenburg an der Havel;12051;10,7;4,8;15,4;18,0;15,1;6,3;5,2;2,3;7,3;8,8;8,1;3,9
Kreisfreie Stadt Cottbus;12052;14;7,2;21;23,5;20,6;8,6;6,9;3,6;10,4;11,5;11,4;5,4
Kreisfreie Stadt Frankfurt (Oder);12053;7,9;4,4;11,5;13,6;12,4;4,9;3,9;2,1;5,2;6,6;6,6;3
Kreisfreie Stadt Potsdam;12054;33,8;15,7;53,8;50,6;29,9;11,9;16,4;8;27,4;26,3;16,4;7,4
Landkreis Barnim;12060;31,4;12,1;37,6;52,8;40,8;14,3;15,2;5,7;19,3;26,1;21,6;8,6
Landkreis Dahme-Spreewald;12061;31,2;11,4;40;51,2;37,5;13,2;15,3;5,3;19,6;25;19,5;8
Landkreis Elbe-Elster;12062;12,4;4,6;14,3;25,4;24,1;8,8;5,9;2,1;7,1;12;12,6;5,4
Landkreis Havelland;12063;27,2;10,1;31;47,3;35,4;12,1;13,3;4,8;15,8;23,9;18,4;7,3
Landkreis Märkisch-Oderland;12064;32,2;11,7;35;55,1;45,2;14,6;15,4;5,5;18,2;27,2;23,5;8,8
Landkreis Oberhavel;12065;33,7;13,1;40,3;61;46,2;15,9;16,4;6,1;20,3;30,7;24;9,6
Landkreis Oberspeewald-Lausitz;12066;13,7;5,6;16,8;27;24,9;9,5;6,7;2,7;8;12,7;13,2;5,9
Landkreis Oder-Spree;12067;27,7;10,2;31,4;47,7;42,1;15;13,4;4,9;16,1;23,4;22,4;9,1
Landkreis Ostprignitz-Ruppin;12068;13,6;5,3;15,8;25;23,9;8;6,5;2,5;7,9;12,3;12,5;4,8
Landkreis Potsdam-Mittelmark;12069;35,8;14,2;38,9;63,5;47,8;15,9;17,7;6,7;19,9;32,2;24,9;9,4
Landkreis Prignitz;12070;9,6;3,8;11,7;18,6;18,3;6,5;4,8;1,8;5,7;8,9;9,6;4
Landkreis Spree-Neiße;12071;14,8;5,4;15,2;28,2;28,1;9,5;7,2;2,6;7,9;13,8;14,7;5,8
Landkreis Teltow-Fläming;12072;29;11;36;49;35,6;12,4;14,1;5,1;17,5;23,9;18,6;7,5
Landkreis Uckermark;12073;15,7;5,9;17,5;29;29;10,5;7,6;2,7;8,8;14;15,2;6,4
