Statistik;Variante;Jahr;Alter;Region;Bevoelkerungsstand_in1000
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Baden-Württemberg         ;11124,6
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Baden-Württemberg         ;11292
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Baden-Württemberg         ;11312
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Baden-Württemberg         ;11264,9
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Baden-Württemberg         ;11182,6
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Baden-Württemberg         ;11066,6
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Baden-Württemberg         ;10925,2
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Baden-Württemberg         ;10767,6
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Baden-Württemberg         ;10610,7
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Baden-Württemberg         ;10471,9
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Baden-Württemberg         ;10344,1
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Bayern                    ;13176,9
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Bayern                    ;13429,4
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Bayern                    ;13501
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Bayern                    ;13476,3
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Bayern                    ;13394,5
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Bayern                    ;13266,8
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Bayern                    ;13106,3
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Bayern                    ;12927,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Bayern                    ;12752,1
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Bayern                    ;12598,2
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Bayern                    ;12454,6
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Berlin                    ;3677,4
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Berlin                    ;3787,6
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Berlin                    ;3825,5
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Berlin                    ;3841,9
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Berlin                    ;3856,8
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Berlin                    ;3872,9
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Berlin                    ;3886,5
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Berlin                    ;3891,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Berlin                    ;3887,6
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Berlin                    ;3880,5
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Berlin                    ;3868,2
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Brandenburg               ;2537,9
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Brandenburg               ;2564,5
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Brandenburg               ;2553,3
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Brandenburg               ;2520,9
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Brandenburg               ;2476,6
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Brandenburg               ;2420,2
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Brandenburg               ;2352,6
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Brandenburg               ;2282,6
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Brandenburg               ;2220,7
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Brandenburg               ;2169
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Brandenburg               ;2122,3
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Bremen                    ;676,4
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Bremen                    ;682,6
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Bremen                    ;677,4
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Bremen                    ;670,8
