GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
11;  Berlin;unter 5 Jahre;151150;x;x;x;x;x;x;x;151150;77320;73830
11;  Berlin;5 bis unter 10 Jahre;133440;x;x;x;x;x;x;x;133440;68100;65340
11;  Berlin;10 bis unter 15 Jahre;133810;x;x;x;x;x;x;x;133810;68700;65100
11;  Berlin;15 bis unter 20 Jahre;126410;35130;28000;14690;13300;7130;3390;3740;91290;45850;45440
11;  Berlin;20 bis unter 25 Jahre;215060;153060;135790;65800;69990;17270;8970;8290;62010;27370;34640
11;  Berlin;25 bis unter 30 Jahre;260510;214770;193980;96110;97870;20780;12400;8380;45740;19610;26130
11;  Berlin;30 bis unter 35 Jahre;245670;211590;193470;99080;94400;18120;10390;7730;34080;12460;21630
11;  Berlin;35 bis unter 40 Jahre;214840;185760;171170;90360;80800;14600;8670;5930;29080;9540;19540
11;  Berlin;40 bis unter 45 Jahre;254180;224360;207280;109380;97900;17080;9800;7280;29820;11430;18390
11;  Berlin;45 bis unter 50 Jahre;281720;245670;227870;116480;111390;17800;10970;6830;36050;16270;19780
11;  Berlin;50 bis unter 55 Jahre;229590;189970;175360;90090;85280;14600;8450;6160;39620;18400;21220
11;  Berlin;55 bis unter 60 Jahre;206280;158840;144860;71600;73260;13990;8270;5720;47430;19040;28400
11;  Berlin;60 bis unter 65 Jahre;184980;92980;85490;45360;40130;7490;4810;2680;92010;37830;54180
11;  Berlin;65 bis unter 70 Jahre;186280;24520;23710;14150;9560;/;/;/;161750;74990;86760
11;  Berlin;70 bis unter 75 Jahre;189020;14600;14070;8430;5640;/;/;/;174420;78000;96420
11;  Berlin;75 bis unter 80 Jahre;118700;5630;5320;2730;2590;/;/;/;113060;47890;65180
11;  Berlin;80 bis unter 85 Jahre;71540;2620;2610;/;/;/;/;/;68930;24530;44400
11;  Berlin;85 bis unter 90 Jahre;42430;/;/;/;/;/;/;/;41830;10510;31320
11;  Berlin;90 Jahre und mehr;23630;/;/;/;/;/;/;/;23080;4110;18970
11;  Berlin;Insgesamt;3269270;1760670;1610040;825890;784140;150630;86820;63810;1508600;671940;836660
12051;      Brandenburg an der Havel, kreisfreie Stadt;unter 5 Jahre;3010;x;x;x;x;x;x;x;3010;1330;1680
12051;      Brandenburg an der Havel, kreisfreie Stadt;5 bis unter 10 Jahre;2430;x;x;x;x;x;x;x;2430;1100;1330
12051;      Brandenburg an der Havel, kreisfreie Stadt;10 bis unter 15 Jahre;1790;x;x;x;x;x;x;x;1790;1110;680
12051;      Brandenburg an der Havel, kreisfreie Stadt;15 bis unter 20 Jahre;1830;680;600;330;270;/;/;/;1160;610;550
12051;      Brandenburg an der Havel, kreisfreie Stadt;20 bis unter 25 Jahre;4690;3870;3500;1780;1710;/;/;/;810;/;/
12051;      Brandenburg an der Havel, kreisfreie Stadt;25 bis unter 30 Jahre;4810;4240;3640;1840;1800;610;/;/;570;/;/
